Like,ml2,Like1
European Stocks Mixed; EU Leaders Set to Discuss Covid,25 Mar 2021,"By Peter Nurse  Investing.com - European stock markets traded in a mixed fashion Thursday, as investors digested the region’s Covid-19 situation ahead of a meeting of EU..."
EU Will Tighten Restrictions on Covid Vaccine Export,24 Mar 2021,"(Bloomberg) -- The European Union announced it will give itself stronger powers to stop Covid vaccine exports to the rest of the world, setting the stage for an escalation of..."
"Powell, Yellen Testify; AstraZeneca’s Vaccine, Housing Data - What's up in Markets",23 Mar 2021,By Peter Nurse Investing.com -- Testimony from both Fed chief Jerome Powell and Treasury Secretary Janet Yellen to Congress is set to be the main focus of the markets Tuesday....
"GameStop, New Home Sales, AstraZeneca: 3 Things to Watch",22 Mar 2021,By Liz Moyer Investing.com -- The rotation from growth to value took a pause on Monday as interest rates let out some steam and put the attention back on the big tech companies. As...
"Covid-19 Surge; Turkey Turmoil, GameStop Earnings - What's up in Markets",22 Mar 2021,"By Geoffrey Smith Investing.com -- Rising Covid-19 cases in Europe, India and South America stoke fears about a delay to the global economic recovery, despite AstraZeneca..."
WATCH LIVE: European Medicines Agency Press Conference on AstraZeneca jab,18 Mar 2021,Key Points: European Medicines Agency (EMA) says benefits from AstraZeneca PLC (LON:AZN) vaccine outweigh the risks EMA says cannot definitively rule out a link to blood clot...
Rolls-Royce recent strength continues after JPMorgan upgrade,17 Mar 2021,"By Samuel Indyk Investing.com – Rolls-Royce (LON:RR) shares have jumped for the sixth consecutive day, this time rallying after an upgrade at JPMorgan from ‘underweight’ to..."
"FTSE 100 closes higher, midcaps outperform, AstraZeneca jumps, oil lower",16 Mar 2021,Key Points  FTSE 100 closes higher AstraZeneca (NASDAQ:AZN) shares jump despite vaccine concerns NatWest Group PLC (LON:NWG) lower as FCA launches criminal proceedings over money...
Crude Oil Lower Amid Recovery Concerns; API Data in Focus,16 Mar 2021,"By Peter Nurse    Investing.com -- Crude oil prices weakened Tuesday, handing back some of the recent gains amid concerns over the speed of the global oil demand recovery and ahead..."
AstraZeneca shares rise to the top of the FTSE despite vaccine concerns,16 Mar 2021,By Samuel Indyk Investing.com – Shares in AstraZeneca PLC (LON:AZN) were at the top of the FTSE 100 on Tuesday morning as the company shrugged off concerns about its vaccine....
"FTSE 100 finishes lower as miners weigh, Bitcoin retreats from all-time high",15 Mar 2021,By Samuel Indyk Key Points   FTSE 100 begins week on back foot as miners and oil & gas companies weigh More European countries stop rollout of AstraZeneca PLC (LON:AZN)...
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.31%,11 Mar 2021,"Investing.com – U.K. equities were higher at the close on Thursday, as gains in the Mining, Electrical and Travel & Leisure sectors propelled shares higher. At the close in..."
"Astrazeneca denies vaccine delivery shortfall to EU, Italy - paper",25 Feb 2021," MILAN (Reuters) - AstraZeneca (NASDAQ:AZN) will deliver 180 million COVID-19 vaccines to Europe in the second quarter, of which 20 million to Italy, the head of its Italian unit..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.38%,19 Feb 2021,"Investing.com – U.K. equities were higher at the close on Friday, as gains in the Industrial Metals & Mining, Mining and Fixed Line Telecommunications sectors propelled shares..."
Pound rally continues as cable breaks back above 1.3900,18 Feb 2021,By Samuel Indyk Investing.com – GBP continues to strengthen with GBP/USD breaking back above 1.39 and EUR/GBP falling to its lowest level since April last year. The pound has...
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 2.65%,15 Feb 2021,"Investing.com – U.K. equities were higher at the close on Monday, as gains in the Oil & Gas Producers, Oil Equipment Services & Distribution and Mining sectors propelled shares..."
The UK stocks benefiting from vaccine-related news according to HSBC,10 Feb 2021,"By Samuel Indyk Investing.com – In a recent research note, HSBC have released a list of FTSE 350 stocks with positive reaction to vaccine-related market news and a few with..."
"FTSE 100 slightly lower, Bitcoin the asset in focus",09 Feb 2021,By Samuel Indyk Investing.com – The FTSE 100 trades in the red heading towards the North American crossover with little in the way of fresh catalysts to drive near term market...
Global health officials back AstraZeneca vaccine after South Africa study rings alarm,08 Feb 2021," By John Revill GENEVA (Reuters) - Health officials around the world gave their backing to the AstraZeneca (NASDAQ:AZN) vaccine against COVID-19, after a study showing it had..."
FTSE 100 maintains march higher as miners rally,08 Feb 2021,By Samuel Indyk Investing.com – The UK’s FTSE 100 was higher heading towards midday as miners and financials once again push the index upwards. Cyclical sectors were all firmly in...
UPDATE 1-UK Stocks-Factors to watch on Feb. 8,08 Feb 2021,"(Adds futures and news items) Feb 8 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 54 points higher at 6,543 on Monday, according to financial bookmakers, with futures..."
UK Stocks-Factors to watch on Feb. 8,08 Feb 2021,"Feb 8 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 54 points higher at 6,543 on Monday, according to financial bookmakers. RIO TINTO: Mongolia's government is seeking..."
"FTSE 100 broadly flat amid decline in services sector activity, BoE in focus",03 Feb 2021,By Samuel Indyk Investing.com – The FTSE 100 trades relatively flat at the midpoint of the trading day despite services sector activity falling to its lowest level since May....
"European Stocks Higher; Corporate Earnings, Italian Politics Help",03 Feb 2021,"By Peter Nurse  Investing.com - European stock markets pushed higher Wednesday, helped by progress towards further U.S. stimulus, while Italian political developments and corporate..."
AstraZeneca to sell its holding in Viela Bio,01 Feb 2021,By Samuel Indyk Investing.com – Biopharmaceutical company AstraZeneca PLC (LON:AZN) announced on Monday it is to divest its 26.7% stake in  Viela Bio Inc  (NASDAQ:VIE) as part of...
EU's Von Der Leyen says Astrazeneca will deliver 9 million more vaccine doses,31 Jan 2021," (Reuters) - EU Commission President Ursula Von Der Leyen said on Sunday  Astrazeneca  Plc (LON:AZN) will deliver 9 million additional COVID-19 vaccine doses in the first quarter,..."
European Medicines Agency recommends EU Approval for AstraZeneca vaccine,29 Jan 2021,By Samuel Indyk Investing.com – The European Medicines Agency (EMA) recommended granting a conditional marketing authorisation for AstraZeneca PLC (LON:AZN)’s vaccine...
UK plant producing AstraZeneca vaccines partially evacuated over suspect package,27 Jan 2021,"LONDON (Reuters) - A plant in Wales that produces AstraZeneca PLC (LON:AZN)'s COVID-19 vaccine has been partially evacuated after a suspicious package was received, the company..."
Pounds hits near three-year high against the Dollar,21 Jan 2021,"By Samuel Indyk Investing.com - The pound reached its highest level against the US dollar since April 2018 on Thursday, continuing its strong run over the last two weeks. GBP/USD..."
English health official says have been extracting extra doses of AstraZeneca vaccine,13 Jan 2021,"LONDON (Reuters) - It is possible to get an extra dose out of vials of AstraZeneca PLC (LON:AZN)COVID-19 vaccine as well as the one made by  Pfizer  (NYSE:PFE), the head of..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 1.15%,11 Jan 2021,"Investing.com – U.K. equities were lower at the close on Monday, as losses in the Automobiles & Parts, Oil Equipment Services & Distribution and Beverage sectors propelled shares..."
UK Stocks-Factors to watch on Jan. 4,04 Jan 2021,"Jan 4 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 38 points higher at 6,499 on Monday, according to financial bookmakers. ASTRAZENECA: India's drugs regulator on..."
UK Stocks-Factors to watch on Dec 31,31 Dec 2020,Dec 31 (Reuters) - Britain's FTSE 100 futures index FFIc1 was down 0.68% on Thursday. ALDI: Britain's fifth-biggest supermarket Aldi on Wednesday said it plans to increase the...
"Wall St gains, dollar declines as extraordinary year winds down",30 Dec 2020," By Stephen Culp NEW YORK (Reuters) -Wall Street edged higher and the dollar dipped to its lowest in more than two years on Wednesday, the penultimate trading day in a remarkable..."
"McConnell Defies Trump, U.K. OKs Astra Vaccine, Bitcoin ATH - What's up in Markets",30 Dec 2020,"By Geoffrey Smith  Investing.com -- Senate Leader Mitch McConnell thwarts Donald Trump’s plan for higher stimulus payments, the U.K. approves the AstraZeneca/Oxford University..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.50%,23 Dec 2020,"Investing.com – U.K. equities were higher at the close on Wednesday, as gains in the Oil Equipment Services & Distribution, Life Insurance/Assurance and Banking sectors propelled..."
UPDATE 1-UK Stocks-Factors to watch on Dec 22,22 Dec 2020,Dec 22 (Reuters) - Britain's FTSE 100 futures index (FFIc1) was down 0.49% ahead of the cash market open on Tuesday. Vodafone:  Vodafone  Group (VOD.L) offered to buy the remaining...
UK Stocks-Factors to watch on Dec 22,22 Dec 2020,Dec 22 - Britain's FTSE 100 futures index (FFIc1) was down 0.57% on Tuesday. Tesco: British supermarket group  Tesco  (TSCO.L) warned on Monday that there may be a shortage of some...
UPDATE 1-UK Stocks-Factors to watch on Dec 21,21 Dec 2020,Dec 21 (Reuters) - Britain's FTSE 100 futures index (FFIc1) was down 1.49% ahead of the cash market open on Monday. Royal Dutch Shell: Royal Dutch Shell (RDSa.L) said it will write...
UK Stocks-Factors to watch on Dec 21,21 Dec 2020,Dec 21 (Reuters) - Britain's FTSE 100 futures index (FFIc1) was down 0.86% on Monday. AstraZeneca: Malaysia said on Saturday it has secured coronavirus vaccine from AstraZeneca Plc...
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.68%,14 Dec 2020,"Investing.com – U.K. equities were lower at the close on Monday, as losses in the Pharmaceuticals & Biotech, Oil Equipment Services & Distribution and Oil & Gas Producers sectors..."
UK Stocks-Factors to watch on Dec. 10,10 Dec 2020,"Dec 10 - Britain's FTSE 100 .FTSE index is seen opening 12 points higher at 6,576 on Thursday, according to financial bookmakers. BREXIT: British Prime Minister Boris Johnson and..."
StockBeat: Just When You Thought It Was Safe to Get Back in the Water,09 Dec 2020,By Geoffrey Smith  Investing.com -- The marketing slogan “Just When You Thought It Was Safe to Get Back Into the Water” was perhaps the only memorable thing about the dismal sequel...
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.36%,03 Dec 2020,"Investing.com – U.K. equities were higher at the close on Thursday, as gains in the Fixed Line Telecommunications, Aerospace & Defense and Industrial Transportation sectors..."
UK Stocks-Factors to watch on Dec 3,03 Dec 2020,"Dec 3 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 14 points lower at 6,449 on Thursday, according to financial bookmakers. ASTRAZENECA: AstraZeneca Plc AZN.L will..."
UPDATE 1-UK Stocks-Factors to watch on Dec 1,01 Dec 2020,"Dec 1 - Britain's FTSE 100 (.FTSE) index is seen opening 39 points higher at 6,305 on Tuesday, according to financial bookmakers, with futures down 0.12% ahead of the cash market..."
UPDATE 1-UK Stocks-Factors to watch on Nov. 30,30 Nov 2020,"Nov 30 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 11 points lower at 6,357 on Monday, according to financial bookmakers. Lloyds: LLoyds Banking Group (LLOY.L)..."
Point/Counterpoint: The Case for AstraZeneca,27 Nov 2020,"By Geoffrey Smith and Peter Nurse Investing.com-- AstraZeneca PLC (LON:AZN) is in a race to develop an effective Covid-19 vaccine, but that's not it's only goal. It's really known..."
"Black Friday Arrives, Spanish Banks Turn Down Merger - What's up in Markets",27 Nov 2020,"  By Peter Nurse Investing.com -- Black Friday is here, but the shopping season is likely to different with online sales likely to surge. European banking consolidation is put on..."
UPDATE 1-UK Stocks-Factors to watch on Nov 27,27 Nov 2020,"(Adds futures, news items) Nov 27 - Britain's FTSE 100 .FTSE index is seen opening 19 points lower at 6,344 on Friday, according to financial bookmakers, with futures down 0.12%..."
"Europe Confidence Slips, Bitcoin Corrects, Slack Talk - What's up in Markets",26 Nov 2020,By Geoffrey Smith  Investing.com -- Germany extends its lockdown restrictions through December 20th – but doesn’t tighten them much despite failing to bring down its infection...
UK Stocks-Factors to watch on Nov 24,24 Nov 2020,"Nov 24 - Britain's FTSE 100 .FTSE index is seen opening 37 points higher at 6,371 on Tuesday, according to financial bookmakers. ASTRAZENECA: AstraZeneca AZN.L said on Monday its..."
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.13%,23 Nov 2020,"Investing.com – U.K. equities were lower at the close on Monday, as losses in the Electronic & Electrical Equipment, Pharmaceuticals & Biotech and Food & Drug Retailers sectors..."
"Dow Slips on Concerns Over Recovery With Weaker Jobs, Restrictions",19 Nov 2020,"By Yasin Ebrahim Investing.com - The Dow slipped Thursday, as investors weighed up strength in tech against weakness in value amid concerns over the economy on signs of a slowdown..."
"AstraZeneca COVID-19 vaccine shows promise in elderly, trial results by Christmas",19 Nov 2020," By Kate Kelland and Alistair Smout LONDON (Reuters) - AstraZeneca and Oxford University's potential COVID-19 vaccine produced a strong immune response in older adults, data..."
Oxford's COVID-19 vaccine trial results 'definitely' before Christmas - investigator,19 Nov 2020," LONDON (Reuters) - Results of late-stage trials of University of Oxford's COVID-19 vaccine candidate should definitely be known by Christmas, the chief investigator on the study..."
